region,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,unit_price,area,total_price
耀江花园 ,3,2,南北,精装,1,7,20,19.2,12.053500000000001,136.89,1650.0
张江汤臣豪园(四期) ,2,2,南,精装,1,7,230,19.2,8.3839,90.65,760.0
华润外滩九里 ,3,2,南,精装,1,0,80,19.2,13.0334,187.98,2450.0
浦东世纪花园(公寓) ,4,2,南,精装,1,6,0,15.0,10.2118,225.23,2300.0
密三小区 ,1,1,南,毛坯,0,0,80,19.2,5.8184000000000005,39.53,230.0
思南公馆 ,3,2,南,精装,1,10,243,19.2,16.0378,212.0,3400.0
金谊河畔 ,2,2,南北,其他,1,14,275,19.2,5.415,101.57,550.0
三宝花苑 ,3,2,东南,简装,1,13,90,19.2,6.0594,97.37,590.0
大上海国际花园九区 ,2,2,南,精装,1,15,115,19.2,5.697900000000001,102.32,583.0
汇丽苑 ,2,2,南,精装,0,10,100,19.2,3.8383000000000003,78.16,300.0
翠湖天地御苑 ,3,2,南北,精装,1,20,16,19.2,13.427700000000002,182.46,2450.0
世茂滨江花园 ,3,2,西北,精装,1,22,33,19.2,7.681,236.95,1820.0
凯利大楼 ,3,2,南,精装,1,24,17,20.0,3.9407,139.57,550.0
老西门新苑 ,3,2,南,精装,1,0,2,18.0,9.7725,143.26,1400.0
众众德尚世嘉 ,2,2,南,简装,0,0,40,19.2,4.7306,107.81,510.0
万科优诗美地 ,3,2,南,简装,0,11,62,19.2,5.1597,124.04,640.0
盛大金磐 ,3,2,南,精装,1,9,33,19.2,11.838600000000001,194.28,2300.0
静安恬园 ,3,2,南,精装,0,9,527,19.2,6.1858,137.25,849.0
四季绿城 ,3,2,南,精装,0,8,134,19.2,5.2978000000000005,106.65,565.0
淡水湾花园 ,3,2,南,精装,1,1,92,19.2,10.6613,148.95,1588.0
涵合园(公寓) ,3,2,南,精装,1,2,54,19.2,7.6946,174.8,1345.0
丝庐花语 ,2,2,南,精装,1,4,402,19.2,7.971500000000001,106.63,850.0
