region,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,unit_price,area,total_price
金马悦城 ,2,2,西,其他,0,0,2,16.0,1.2117,79.23,
时代俊园 ,3,2,南,其他,0,1,0,16.0,0.9135000000000001,104.0,
万科魅力之城 ,3,2,东,精装,0,0,1,16.0,1.445,89.97,130.0
新亚洲体育城星体花园南区 ,4,2,南北,其他,0,0,1,15.0,1.1620000000000001,142.0,165.0
北辰财富中心 ,1,1,南,其他,0,0,6,14.0,0.8209000000000001,67.0,
俊发湾流海 ,4,2,西南,其他,0,1,0,14.0,1.1179000000000001,148.5,166.0
广福小区二区 ,4,2,南北,简装,0,0,1,19.0,1.4686000000000001,143.0,210.0
海伦国际 ,2,2,东南,精装,0,0,3,19.0,1.3,94.0,122.2
实力锦城C组团 ,4,2,南,精装,0,0,2,19.0,1.0166,137.72,140.0
金色交响家园 ,4,2,东南,精装,0,0,1,25.0,1.0255,134.57,138.0
金色交响家园 ,4,2,东南,简装,0,1,1,25.0,1.0766,134.69,145.0
金色交响家园 ,4,2,东南,精装,0,1,3,25.0,1.0882,133.25,145.0
金色交响家园 ,4,2,东南,简装,0,2,2,22.0,0.9852000000000001,135.0,133.0
金色交响家园 ,4,2,东南,简装,0,0,0,21.0,1.1578000000000002,128.7,149.0
农业厅老干部住宅楼 ,4,1,南北,精装,0,0,2,18.0,2.1064000000000003,94.0,198.0
假日城市 ,3,2,南,其他,0,1,11,19.0,1.0892,101.0,110.0
溪麓南郡 ,3,2,东南,其他,0,0,31,19.0,0.8305,126.44,105.0
合金公寓 ,3,2,东北,精装,0,0,13,19.0,0.8866,135.36,120.0
俊发湾流海 ,3,2,东南,其他,0,1,11,19.0,0.7639,189.84,145.0
樱花语幸福里 ,4,2,西南,其他,0,0,0,25.0,1.8882,143.0,270.0
海伦国际 ,3,2,东南,其他,0,0,2,25.0,1.3676000000000001,117.0,160.0
荷塘月色 ,3,2,南北,其他,0,0,0,25.0,1.6149,135.0,218.0
建工新城 ,3,2,东南,精装,0,1,9,24.0,0.668,106.0,70.8
建工新城锦绣园 ,2,2,西南,其他,0,0,0,23.0,1.1137000000000001,88.0,
建工新城锦绣园 ,2,2,西南,其他,0,0,0,23.0,0.9660000000000001,88.0,
红星国际广场晶品 ,2,2,南,其他,0,0,0,21.0,1.7722,79.0,140.0
金沙小区 ,3,2,东,其他,0,0,1,20.0,1.0722,68.09,
英茂花园 ,3,2,南北,其他,0,0,1,19.0,1.2712,100.7,128.0
和谐世纪 ,1,1,东南,其他,0,0,1,19.0,1.0,55.0,
和谐世纪 ,1,1,东南,其他,0,0,0,19.0,1.0173,58.0,
金沙小区 ,3,2,南北,精装,0,1,3,19.0,0.9192,99.0,
金色交响家园 ,4,2,东南,其他,0,0,0,18.0,1.0711,130.71,140.0
广福城和福园 ,3,2,东南,其他,0,2,2,18.0,1.2767000000000002,125.33,160.0
时代俊园 ,5,2,南北,其他,0,0,3,18.0,0.7718,184.0,142.0
新亚洲体育城星体花园北区 ,3,2,东南,其他,0,1,0,18.0,1.2778,90.0,115.0
佳华大厦住宅区 ,3,2,东南,简装,0,0,1,17.0,1.8985,151.7,288.0
中海锦苑 ,3,2,南,其他,0,0,0,16.0,1.1579000000000002,95.0,110.0
棕合小区 ,2,2,东南,其他,0,0,3,16.0,0.9343,57.8,
曙光路南段18号院 ,3,2,南,其他,0,0,1,15.0,1.3158,57.0,
清水木华 ,2,1,南,其他,0,0,7,14.0,0.8667,90.0,
新亚洲体育城星宇园 ,4,2,东南,其他,0,1,1,13.0,1.1225,147.0,165.0
云岭天骄 ,2,1,南,其他,0,0,0,13.0,1.9600000000000002,50.0,
昆明市交通技工学校 ,2,1,东南南北,其他,0,0,1,13.0,1.1427,47.26,
未名城A2地块 ,3,2,西,其他,0,0,0,12.0,1.3085,107.0,140.0
翠丽苑 ,3,2,东南北,其他,0,0,0,11.0,2.2122,165.0,365.0
翠湖太龙公馆 ,2,2,南西,其他,0,0,0,11.0,3.7800000000000002,91.8,347.0
灯火阑珊处 ,3,2,东,其他,0,0,0,11.0,1.2438,100.5,125.0
万科银海泊岸 ,3,2,南北,其他,0,0,1,11.0,1.508,126.0,190.0
百大城市理想 ,3,2,南,其他,0,0,0,11.0,1.8486,73.03,135.0
万科魅力之城 ,3,2,西,精装,0,0,0,10.0,1.3367,101.0,135.0
棕树营小区丹宁里 ,3,2,东南,其他,0,0,3,10.0,1.0,80.0,
中产花香四季 ,3,2,西南,其他,0,0,1,10.0,1.2333,121.63,150.0
滇池卫城蓝调公元 ,3,2,南,其他,0,0,0,9.0,1.6823000000000001,107.0,180.0
万科魅力之城 ,3,2,东南,其他,0,0,0,9.0,1.5209000000000001,82.19,125.0
时代俊园 ,4,2,西南,其他,0,0,0,9.0,0.9931000000000001,144.0,143.0
万科银海泊岸江樾 ,3,2,南北,其他,0,0,1,8.0,1.2705,122.0,155.0
建工新城 ,2,2,西北,其他,0,0,1,8.0,0.6364000000000001,81.72,
百大国际派 ,1,1,东,其他,0,0,0,7.0,0.9491,34.77,
欣都龙城 ,2,1,西南,简装,0,0,2,7.0,1.1115000000000002,62.8,69.8
中环金界 ,1,1,南,其他,0,0,1,7.0,1.1128,48.53,
滇池高尔夫别墅 ,2,2,南,精装,0,0,1,6.0,1.7344000000000002,128.0,222.0
湖畔之梦 ,4,2,南,其他,0,0,1,6.0,1.3429,140.0,188.0
滇池卫城紫屿 ,2,2,西南,其他,0,0,0,4.0,1.8807,89.33,168.0
新亚洲体育城星云园 ,4,2,西南,精装,0,7,3,19.0,1.0852,141.0,153.0
滇池卫城蓝港 ,5,2,南北,精装,0,0,1,19.0,1.8086,164.77,298.0
滇池卫城尚层 ,4,2,西南,精装,0,1,2,19.0,1.8951,88.65,168.0
新域盛景 ,3,2,南西,精装,0,0,0,19.0,1.4737,115.36,170.0
招商海公馆 ,3,2,东南,精装,0,0,2,19.0,2.0,133.0,266.0
新亚洲体育城星泽园 ,4,2,东南,简装,0,0,1,19.0,1.1112,180.0,200.0
万科公园里 ,3,2,东南,精装,0,0,3,19.0,1.3019,106.0,138.0
万科魅力之城 ,3,2,东,精装,0,0,6,17.0,1.2002000000000002,89.99,108.0
新亚洲体育城星云园 ,3,2,东西,精装,0,2,8,19.0,1.0401,123.07,128.0
榕苑 ,2,2,南北,精装,0,0,3,19.0,1.2977,84.0,109.0
中产花香四季 ,4,2,东南,其他,0,0,1,19.0,1.1600000000000001,125.0,145.0
新亚洲体育城星云园 ,4,2,东南,毛坯,0,1,2,19.0,1.2324000000000002,142.0,175.0
滇池卫城锦尚 ,3,2,西南,毛坯,0,0,0,19.0,1.7416,89.0,155.0
新亚洲体育城星汇园 ,3,2,南北,精装,0,1,0,15.0,1.3149,142.22,187.0
中豪.悦城花园 ,4,2,南西南,精装,0,0,15,19.0,1.0345,145.0,150.0
船房小区D区 ,3,2,东南,其他,0,0,3,27.0,1.0688,107.6,115.0
焦化制气厂 ,2,1,东,其他,0,0,1,22.0,0.9594,57.33,
万科魅力之城 ,2,1,东南,其他,0,0,2,18.0,1.3068,72.7,
中海学府路8号 ,3,2,东南,其他,0,0,0,15.0,2.2034000000000002,118.0,260.0
林岗小区 ,2,2,东,其他,0,0,1,14.0,1.2557,46.19,
滇池卫城橡尚 ,2,2,南北,精装,0,0,1,7.0,1.7416,89.0,155.0
国际花园 ,4,2,南北,其他,0,0,0,6.0,1.52,125.0,190.0
山海湾 ,3,2,南,毛坯,0,0,0,19.0,1.6667,126.0,210.0
枫林盛景(东区) ,4,2,西,简装,0,4,2,19.0,0.9786,140.0,137.0
