region,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,unit_price,area,total_price
蓝桥名苑 ,2,2,南,简装,1,8,134,20.0,2.9901,83.61,250.0
中国铁建国际汇 ,3,1,南,毛坯,1,5,37,20.0,4.4435,87.77,390.0
大华海派风景 ,3,2,南,精装,1,7,20,20.0,3.6587,84.73,310.0
华元蒙卡岸 ,3,2,南,毛坯,1,11,121,20.0,2.8186,87.99,248.0
天阳云筑 ,3,2,南,毛坯,1,5,33,20.0,3.4631000000000003,86.63,300.0
中国铁建青秀城 ,3,2,南,毛坯,1,10,49,20.0,4.1012,89.0,365.0
亲亲家园一期 ,4,2,南北,毛坯,0,7,35,20.0,3.0379,131.67,400.0
金色蓝庭 ,4,2,南北,简装,1,7,15,20.0,5.1432,184.71,950.0
华瑞湘湖美地 ,5,2,南西北,毛坯,0,0,23,20.0,2.6742,284.2,760.0
亲亲家园四期 ,4,2,东南北,精装,1,8,68,20.0,3.6211,135.32,490.0
顺发康庄 ,3,2,南西北,毛坯,1,9,46,20.0,3.3546,86.45,290.0
南都花园三区 ,3,1,南,简装,0,14,26,20.0,3.9068,81.91,320.0
融创金成西溪海 ,3,2,南,毛坯,1,5,71,20.0,2.8944,89.83,260.0
欧美金融城 ,3,2,南,毛坯,1,13,69,20.0,3.6721000000000004,100.76,370.0
江南摩卡 ,3,2,南,毛坯,0,7,40,20.0,2.6378,127.0,335.0
流水苑 ,2,2,南,简装,0,6,18,20.0,3.9769,82.98,330.0
铭雅苑东区 ,4,2,南北,简装,0,8,76,20.0,2.1682,165.58,359.0
景芳新五区 ,3,2,南,其他,0,6,52,20.0,3.6078,77.61,280.0
名城燕园 ,2,2,南,简装,1,11,52,20.0,4.3463,84.67,368.0
名仕家园 ,3,2,南,精装,0,6,15,20.0,5.1938,129.0,670.0
广厦天都城天河苑 ,3,1,南,精装,0,8,256,20.0,1.9798,85.87,170.0
闲林山水木兰苑 ,3,2,南,精装,0,7,45,20.0,2.0063,127.1,255.0
爵士风情花园 ,3,2,南,精装,0,4,108,20.0,2.1882,118.82,260.0
荣安望江南 ,3,2,南,简装,1,8,25,20.0,4.5925,139.36,640.0
华龙家园 ,3,2,南,简装,0,9,12,20.0,5.4084,73.59,398.0
闲林山水木兰苑 ,3,2,南,简装,0,5,63,20.0,2.0095,126.9,255.0
假山新村 ,2,2,南,精装,0,8,23,20.0,4.3432,82.89,360.0
凯德湖墅 ,3,2,南,毛坯,1,7,53,20.0,4.988300000000001,89.21,445.0
