region,city,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,popular,unit_price,area,total_price
边城香格里 ,C,4,2,SE,3,1,3,129,18.5,2.2054,1.6104,115.5,186.0
棕港公寓 ,C,3,2,S,0,0,4,46,18.5,0.8973,1.0316,145.41,150.0
金地花园 ,C,3,2,E,2,1,3,57,18.5,1.0378,1.6886,133.84,226.0
华润二十四城四期 ,C,3,1,NW,3,1,20,16,28.0,0.6714,2.4879,88.43,220.0
红城 ,C,2,1,NW,0,1,59,72,31.0,2.029,1.6827,62.4,105.0
金沙岁月 ,C,2,1,S,0,1,47,77,26.0,2.1538,1.5592,51.31,
中海金沙府 ,C,4,2,SE,1,1,15,272,18.5,4.9784,2.7267,157.7,430.0
华润凤凰城一期 ,C,4,2,SE,0,1,6,122,18.5,2.2054,2.9347000000000003,161.86,475.0
派克公馆 ,C,4,2,SE,0,1,5,46,18.5,0.9351,1.3547,191.93,260.0
石油苑 ,C,3,2,S,0,1,8,32,18.5,0.8216,2.4209,161.1,390.0
君和源 ,C,4,1,SW,3,1,1,129,18.5,2.1297,1.8419,135.73,250.0
翡翠城四期 ,C,3,1,E,3,1,13,36,18.5,1.0757,2.5189,87.34,220.0
高地 ,C,3,2,SE,2,1,9,171,18.5,3.1135,1.9667,126.61,249.0
华侨城纯水岸二期 ,C,2,1,W NW,0,1,17,9,18.5,0.7892,1.9017,76.25,145.0
蜀郡又一城 ,C,2,2,N,0,1,17,59,18.5,1.6,1.5079,76.27,115.0
中信未来城北区 ,C,3,2,SW,0,1,12,8,26.0,0.4154,1.1228,89.07,100.0
万科海悦汇城东区 ,C,2,2,SW,0,1,6,14,18.0,0.4667,1.8708,58.8,110.0
皇后国际 ,C,2,1,S N,0,1,41,85,18.5,2.9297,4.1386,65.24,270.0
恒大绿洲 ,C,3,2,NW,0,1,33,225,18.5,4.8973,1.2827,91.22,117.0
学府阳光 ,C,3,2,SW,2,1,56,157,18.5,4.6649,0.9296,100.05,
格凌兰 ,C,3,2,SW,1,1,28,74,18.5,2.2595,1.2172,86.27,105.0
七彩花都B区二期 ,C,3,2,S,1,1,30,32,18.5,1.6541,0.9752,104.6,102.0
林庭叠院 ,C,3,2,S,0,1,22,28,18.5,1.2865,1.6497000000000002,121.24,200.0
