attention,url,unit_price,region,house_info,visited,publishday,total_price
29,,51623,东方花园(一期) , | 2室2厅 | 81.36平米 | 南 | 其他 | 无电梯,29,,420
171,,91824,仁恒河滨城 , | 3室2厅 | 151.16平米 | 南 | 精装 | 有电梯,1,,1388
169,,72482,新梅共和城 , | 3室2厅 | 125.55平米 | 南 北 | 毛坯 | 有电梯,13,,910
128,,122061,永嘉新村 , | 2室1厅 | 89.3平米 | 南 | 精装 | 无电梯,10,,1090
331,,18501,绿地香颂(奉贤)(公寓) , | 1室1厅 | 62.16平米 | 南 北 | 简装 | 有电梯,10,,115
112,,30328,同润加州(公寓) , | 3室2厅 | 136.84平米 | 南 | 毛坯 | 无电梯,10,,415
27,,45447,永和三村 , | 2室0厅 | 58.31平米 | 南 | 毛坯 | 无电梯,13,,265
102,,81175,凯德嘉博名邸 , | 2室1厅 | 89.93平米 | 南 西 | 精装 | 有电梯,16,,730
25,,93598,国信世纪海景 , | 3室2厅 | 235.69平米 | 东南 | 精装 | 有电梯,2,,2206
88,,35422,金地艺境(宝山) , | 2室1厅 | 71.99平米 | 南 北 | 精装 | 有电梯,6,,255
164,,86510,张江汤臣豪园(二期) , | 2室2厅 | 76.87平米 | 南 | 简装 | 有电梯,31,,665
89,,120308,中凯城市之光(静安) , | 1室1厅 | 62.34平米 | 南 | 精装 | 有电梯,25,,750
52,,42206,象屿名城 , | 2室2厅 | 91.22平米 | 暂无数据 | 其他 | 有电梯,24,,385
67,,72366,金桂小区 , | 3室1厅 | 88.44平米 | 南 | 毛坯 | 无电梯,23,,640
169,,36638,翔和雅苑 , | 2室1厅 | 69.6平米 | 南 | 毛坯,21,,255
778,,15302,新舒苑 , | 3室2厅 | 103.26平米 | 南 | 毛坯 | 无电梯,19,,158
134,,87654,大同花园南区 , | 2室2厅 | 93.55平米 | 西南 | 简装 | 有电梯,21,,820
43,,105062,强生古北花园 , | 3室2厅 | 158.86平米 | 南 | 精装 | 有电梯,18,,1669
42,,63586,万景园 , | 2室2厅 | 111.66平米 | 南 | 精装 | 有电梯,12,,710
20,,120535,耀江花园 , | 3室2厅 | 136.89平米 | 南 北 | 精装 | 有电梯,7,,1650
230,,83839,张江汤臣豪园(四期) , | 2室2厅 | 90.65平米 | 南 | 精装 | 有电梯,7,,760
80,,130334,华润外滩九里 , | 3室2厅 | 187.98平米 | 南 | 精装 | 有电梯,0,,2450
0,,102118,浦东世纪花园(公寓) , | 4室2厅 | 225.23平米 | 南 | 精装 | 有电梯,6,15,2300
80,,58184,密三小区 , | 1室1厅 | 39.53平米 | 南 | 毛坯 | 无电梯,0,,230
243,,160378,思南公馆 , | 3室2厅 | 212平米 | 南 | 精装 | 有电梯,10,,3400
275,,54150,金谊河畔 , | 2室2厅 | 101.57平米 | 南 北 | 其他 | 有电梯,14,,550
90,,60594,三宝花苑 , | 3室2厅 | 97.37平米 | 东南 | 简装 | 有电梯,13,,590
115,,56979,大上海国际花园九区 , | 2室2厅 | 102.32平米 | 南 | 精装 | 有电梯,15,,583
100,,38383,汇丽苑 , | 2室2厅 | 78.16平米 | 南 | 精装 | 无电梯,10,,300
16,,134277,翠湖天地御苑 , | 3室2厅 | 182.46平米 | 南 北 | 精装 | 有电梯,20,,2450
