region,total_price,house_info,publishday,attention,unit_price,url,visited
滇池卫城蓝调公元 ,180," | 3室2厅 | 107平米 | 南 | 其他",9,0,16823,,0
万科魅力之城 ,125," | 3室2厅 | 82.19平米 | 东南 | 其他",9,0,15209,,0
时代俊园 ,143," | 4室2厅 | 144平米 | 西南 | 其他",9,0,9931,,0
万科银海泊岸江樾 ,155," | 3室2厅 | 122平米 | 南 北 | 其他",8,1,12705,,0
建工新城 ,," | 2室2厅 | 81.72平米 | 西北 | 其他",8,1,6364,,0
百大国际派 ,," | 1室1厅 | 34.77平米 | 东 | 其他",7,0,9491,,0
欣都龙城 ,69.8," | 2室1厅 | 62.8平米 | 西南 | 简装",7,2,11115,,0
中环金界 ,," | 1室1厅 | 48.53平米 | 南 | 其他",7,1,11128,,0
滇池高尔夫别墅 ,222," | 2室2厅 | 128平米 | 南 | 精装",6,1,17344,,0
湖畔之梦 ,188," | 4室2厅 | 140平米 | 南 | 其他",6,1,13429,,0
滇池卫城紫屿 ,168," | 2室2厅 | 89.33平米 | 西南 | 其他",4,0,18807,,0
新亚洲体育城星云园 ,153," | 4室2厅 | 141平米 | 西南 | 精装",,3,10852,,7
滇池卫城蓝港 ,298," | 5室2厅 | 164.77平米 | 南 北 | 精装",,1,18086,,0
滇池卫城尚层 ,168," | 4室2厅 | 88.65平米 | 西南 | 精装",,2,18951,,1
新域盛景 ,170," | 3室2厅 | 115.36平米 | 南 西 | 精装",,0,14737,,0
招商海公馆 ,266," | 3室2厅 | 133平米 | 东南 | 精装",,2,20000,,0
新亚洲体育城星泽园 ,200," | 4室2厅 | 180平米 | 东南 | 简装",,1,11112,,0
万科公园里 ,138," | 3室2厅 | 106平米 | 东南 | 精装",,3,13019,,0
万科魅力之城 ,108," | 3室2厅 | 89.99平米 | 东 | 精装",17,6,12002,,0
新亚洲体育城星云园 ,128," | 3室2厅 | 123.07平米 | 东 西 | 精装",,8,10401,,2
榕苑 ,109," | 2室2厅 | 84平米 | 南 北 | 精装",,3,12977,,0
中产花香四季 ,145," | 4室2厅 | 125平米 | 东南 | 其他",,1,11600,,0
新亚洲体育城星云园 ,175," | 4室2厅 | 142平米 | 东南 | 毛坯",,2,12324,,1
滇池卫城锦尚 ,155," | 3室2厅 | 89平米 | 西南 | 毛坯",,0,17416,,0
新亚洲体育城星汇园 ,187," | 3室2厅 | 142.22平米 | 南 北 | 精装",15,0,13149,,1
中豪.悦城花园 ,150," | 4室2厅 | 145平米 | 南 西南 | 精装",,15,10345,,0
船房小区D区 ,115," | 3室2厅 | 107.6平米 | 东南 | 其他",27,3,10688,,0
焦化制气厂 ,," | 2室1厅 | 57.33平米 | 东 | 其他",22,1,9594,,0
万科魅力之城 ,," | 2室1厅 | 72.7平米 | 东南 | 其他",18,2,13068,,0
中海学府路8号 ,260," | 3室2厅 | 118平米 | 东南 | 其他",15,0,22034,,0
林岗小区 ,," | 2室2厅 | 46.19平米 | 东 | 其他",14,1,12557,,0
滇池卫城橡尚 ,155," | 2室2厅 | 89平米 | 南 北 | 精装",7,1,17416,,0
国际花园 ,190," | 4室2厅 | 125平米 | 南 北 | 其他",6,0,15200,,0
山海湾 ,210," | 3室2厅 | 126平米 | 南 | 毛坯",,0,16667,,0
枫林盛景(东区) ,137," | 4室2厅 | 140平米 | 西 | 简装",,2,9786,,4
新亚洲体育城星宇园 ,160," | 3室2厅 | 130平米 | 东南 | 毛坯",,0,12308,,2
世纪城惜春苑 ,185," | 4室2厅 | 159.33平米 | 东南 | 毛坯",,0,11612,,1
新亚洲体育城万景园 ,215," | 4室2厅 | 158.28平米 | 南 北 | 精装",,0,13584,,0
山海湾 ,230," | 3室2厅 | 127.72平米 | 南 | 毛坯",,0,18009,,0
新亚洲体育城星体花园南区 ,115," | 3室2厅 | 113平米 | 东南 | 精装",,11,10177,,6
枫林盛景(东区) ,128," | 4室2厅 | 122平米 | 南 | 精装",,1,10492,,7
仟村佳宇小区 ,170," | 4室2厅 | 139.6平米 | 西南 东北 | 精装",,0,12178,,1
中豪.悦城花园 ,115," | 3室2厅 | 107平米 | 南 | 精装",,3,10748,,0
滇池卫城橡尚 ,155," | 2室2厅 | 89.9平米 | 西 | 精装",,0,17242,,1
滇池卫城锦尚 ,140," | 3室2厅 | 89平米 | 南 | 精装",,5,15731,,3
滇池世界花苑 ,180," | 3室2厅 | 133平米 | 南 北 | 精装",,4,13534,,0
滇池卫城锦尚 ,245," | 3室2厅 | 135平米 | 南 北 | 精装",,0,18149,,0
山海湾 ,242," | 3室2厅 | 121平米 | 南 | 毛坯",,0,20000,,1
万科魅力之城 ,110," | 3室2厅 | 89.99平米 | 西 | 精装",,19,12224,,17
山海湾 ,130," | 3室2厅 | 86.76平米 | 西南 | 毛坯",,3,14984,,5
陶然雅苑 ,185," | 3室2厅 | 137平米 | 南 北 | 简装",,1,13504,,0
新亚洲体育城星体花园北区 ,," | 3室2厅 | 91平米 | 东南 | 精装",,8,10440,,1
省公安厅家属院 ,99.8," | 2室1厅 | 51平米 | 西南 | 精装",,2,19569,,0
昆都雅苑 ,," | 2室1厅 | 70.16平米 | 东 西 | 简装",,8,11831,,1
时代俊园 ,126," | 4室2厅 | 143.98平米 | 南 北 | 毛坯",,2,8752,,0
时代俊园 ,123," | 4室2厅 | 144平米 | 东 西 | 毛坯",,2,8542,,0
山海湾 ,225," | 3室2厅 | 132.57平米 | 西南 | 毛坯",,0,16973,,0
春城慧谷 ,103," | 3室2厅 | 100.54平米 | 西南 | 其他",,5,10245,,2
新亚洲体育城星宇园 ,150," | 3室2厅 | 130平米 | 东南 | 精装",,2,11539,,0
新亚洲体育城万景园 ,278," | 4室3厅 | 306平米 | 东南 | 其他",31,1,9085,,1
时代俊园 ,145," | 5室2厅 | 184平米 | 南 北 | 其他",31,3,7881,,0
山海湾 ,360," | 5室2厅 | 195平米 | 东 | 其他",29,0,18462,,0
润城 ,150," | 3室2厅 | 123平米 | 西南 | 其他",26,1,12196,,2
润城 ,160," | 3室2厅 | 130平米 | 东北 | 其他",26,3,12308,,2
东康花园 ,," | 2室2厅 | 77.38平米 | 南 北 | 其他",25,4,10985,,1
时代俊园 ,," | 3室2厅 | 98平米 | 南 北 | 其他",25,3,7960,,0
时代俊园 ,," | 3室2厅 | 98平米 | 南 北 | 其他",25,1,8164,,0
省公安厅家属院 ,110," | 2室1厅 | 55.3平米 | 东南 南 | 其他",25,0,19892,,6
时代俊园 ,," | 3室2厅 | 98平米 | 西北 | 毛坯",25,2,8164,,1
时代俊园 ,," | 3室2厅 | 104平米 | 东南 | 毛坯",25,1,9135,,3
昆明市自来水总公司宿舍 ,," | 2室2厅 | 49平米 | 东南 | 其他",22,5,14694,,0
金沙小区 ,109," | 3室2厅 | 139.46平米 | 南 | 其他",21,0,7816,,1
中和巷9号 ,360," | 4室2厅 | 120平米 | 南 北 | 简装",17,1,30000,,0
广福小区二区 ,300," | 4室2厅 | 185平米 | 南 北 | 其他",,0,16217,,0
东骧神骏 ,120," | 3室2厅 | 97.84平米 | 南 | 其他",,2,12265,,0
世纪城叠春苑 ,240," | 3室2厅 | 137平米 | 南 | 精装",,1,17519,,0
书香门第 ,110," | 2室1厅 | 82.06平米 | 西 | 其他",,0,13405,,0
禧瑞都 ,110," | 2室2厅 | 78.92平米 | 西南 | 其他",,1,13939,,0
昆明嘉丽泽 ,," | 2室1厅 | 71平米 | 南 北 | 其他",,0,12113,,0
金尚俊园 ,179," | 3室2厅 | 114平米 | 东北 | 其他",,0,15702,,0
华都花园B区 ,218," | 4室2厅 | 138.77平米 | 南 北 | 其他",,0,15710,,1
阳光花园·昱苑 ,222," | 3室2厅 | 137平米 | 东 | 其他",,0,16205,,0
昆明广场B区 ,245," | 3室2厅 | 129.6平米 | 南 | 其他",,1,18905,,0
昆明广场上北区 ,132," | 3室2厅 | 85平米 | 东 | 其他",,1,15530,,0
金色交响家园 ,120," | 3室2厅 | 104平米 | 南 北 | 其他",,1,11539,,0
海伦国际 ,120," | 2室2厅 | 82.58平米 | 西 西北 | 其他",,1,14532,,0
万科金域缇香 ,220," | 3室2厅 | 128平米 | 南 | 其他",,1,17188,,0
护国路291号 ,," | 2室2厅 | 52.11平米 | 东 | 其他",,1,16312,,0
金星小区 ,110," | 4室2厅 | 118.87平米 | 南 北 | 其他",,6,9254,,0
胜利花园二期 ,," | 3室1厅 | 61.69平米 | 西 | 其他",,9,10699,,1
天骄北麓 ,," | 2室2厅 | 78.8平米 | 东 | 其他",,1,12437,,0
华龙人家 ,," | 2室2厅 | 85.33平米 | 东 | 其他",,5,9610,,0
紫光园小区 ,151," | 3室2厅 | 118平米 | 东 西 | 其他",31,0,12797,,0
上游水岸二期 ,130," | 3室2厅 | 101平米 | 东 | 其他",31,0,12872,,0
中豪.悦城花园 ,128," | 3室2厅 | 101平米 | 东南 | 其他",31,0,12674,,0
和谐世纪 ,," | 2室2厅 | 94平米 | 北 | 其他",30,8,9894,,0
泰旸新城 ,," | 2室1厅 | 69.7平米 | 南 | 其他",29,2,12196,,0
时代俊园 ,135," | 4室2厅 | 140平米 | 南 北 | 其他",29,0,9643,,0
万科金域国际 ,115," | 3室1厅 | 97.4平米 | 西 | 其他",29,4,11807,,8
金马悦城 ,106," | 2室2厅 | 82.18平米 | 东 西 | 其他",29,0,12899,,0
时代俊园 ,135," | 4室2厅 | 144平米 | 南 北 | 其他",28,0,9375,,0
时代俊园 ,130," | 4室2厅 | 144平米 | 东 西 | 其他",28,0,9028,,0
蓄电池厂 ,," | 2室1厅 | 50.78平米 | 南 北 | 其他",28,6,9256,,2
万科魅力之城 ,120," | 3室2厅 | 89平米 | 东南 | 其他",28,2,13484,,0
滇池卫城锦尚 ,170," | 2室2厅 | 89平米 | 南 | 其他",27,2,19102,,0
山海湾 ,366," | 5室2厅 | 243平米 | 南 | 其他",27,0,15062,,0
红星国际广场晶品 ,140," | 2室2厅 | 90平米 | 西南 | 其他",26,0,15556,,0
昆明广场上北区 ,158.8," | 3室2厅 | 89.97平米 | 东南 | 其他",26,0,17651,,0
水木山居 ,128," | 3室2厅 | 117.4平米 | 东 西 | 其他",25,2,10903,,0
时代俊园 ,," | 3室2厅 | 115平米 | 东 西 | 其他",25,0,8261,,0
时代俊园 ,160," | 4室2厅 | 186.4平米 | 东南 | 其他",25,1,8584,,0
朝九晚五 ,," | 2室2厅 | 82.34平米 | 西 | 其他",25,4,10324,,1
中央丽城 ,185," | 2室2厅 | 99.85平米 | 东南 | 其他",24,0,18528,,0
金呈北泰花园 ,180," | 3室1厅 | 134平米 | 南 | 其他",24,0,13433,,0
